label;candidate;parent;chapter
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
aquila;<https://opentheso.huma-num.fr/?idc=108303&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrttto0QeS1er&idt=th310>;;PLINE-10-annotéIPL
