label;parent;chapter
Pergamum;;PLINE-10-annoteIPL
Pergamum;;PLINE-10-annoteIPL
Rimini;;PLINE-10-annoteIPL
Rimini;;PLINE-10-annoteIPL
Galerius;;PLINE-10-annoteIPL
Galerius;;PLINE-10-annoteIPL
Aegium;;PLINE-10-annoteIPL
Aegium;;PLINE-10-annoteIPL
Olenus;;PLINE-10-annoteIPL
Olenus;;PLINE-10-annoteIPL
Lacydes;;PLINE-10-annoteIPL
Lacydes;;PLINE-10-annoteIPL
love to master;;PLINE-10-annoteIPL
1st c. BCE;;PLINE-10-annoteIPL
1st c. BCE;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
morini;;PLINE-10-annoteIPL
morini;;PLINE-10-annoteIPL
Britannia;;PLINE-10-annoteIPL
Britannia;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Pygmaeans;;PLINE-10-annoteIPL
Pygmaeans;;PLINE-10-annoteIPL
Eoan Sea;;PLINE-10-annoteIPL
Eoan Sea;;PLINE-10-annoteIPL
Criu Metopon;;PLINE-10-annoteIPL
Criu Metopon;;PLINE-10-annoteIPL
Carambis;;PLINE-10-annoteIPL
technical knowledge;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
Pythonos comes;;PLINE-10-annoteIPL
migation;;PLINE-10-annoteIPL
Thessalia;;PLINE-10-annoteIPL
Thessalia;;PLINE-10-annoteIPL
Libyrnia;;PLINE-10-annoteIPL
Libyrnia;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
accipiter;;PLINE-10-annoteIPL
special diet;;PLINE-10-annoteIPL
special diet;;PLINE-10-annoteIPL
nourishment carnivorous;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
bird with toes;;PLINE-10-annoteIPL
mythological or litteray character;;PLINE-10-annoteIPL
Bizyes;;PLINE-10-annoteIPL
Bizyes;;PLINE-10-annoteIPL
Volterra;;PLINE-10-annoteIPL
Volterra;;PLINE-10-annoteIPL
black bird;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
mytholigical or literary character;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
migratory bird;;PLINE-10-annoteIPL
Eleans;;PLINE-10-annoteIPL
Eleans;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
plce;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Transpadanian Italy;;PLINE-10-annoteIPL
Transpadanian Italy;;PLINE-10-annoteIPL
insubres;;PLINE-10-annoteIPL
insubres;;PLINE-10-annoteIPL
specially distinguishing feature;;PLINE-10-annoteIPL
Appenin;;PLINE-10-annoteIPL
Appenin;;PLINE-10-annoteIPL
mythological or legendary character;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
Fidenae;;PLINE-10-annoteIPL
Volaterra;;PLINE-10-annoteIPL
Volaterra;;PLINE-10-annoteIPL
Forum Boarium;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
song;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
song;;PLINE-10-annoteIPL
poet Stesichorus;;PLINE-10-annoteIPL
poet Stesichorus;;PLINE-10-annoteIPL
1st c. CE;;PLINE-10-annoteIPL
seasonal chane of color;;PLINE-10-annoteIPL
Eschylus;;PLINE-10-annoteIPL
Eschylus;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
oenanthe;;PLINE-10-annoteIPL
Cyllene;;PLINE-10-annoteIPL
Cyllene;;PLINE-10-annoteIPL
Pelusium;;PLINE-10-annoteIPL
Pelusium;;PLINE-10-annoteIPL
autumn equinox;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
navitagion;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
ancient class;;PLINE-10-annoteIPL
technical knowledge;;PLINE-10-annoteIPL
filio-paternal relationship;;PLINE-10-annoteIPL
filio-paternal relationship;;PLINE-10-annoteIPL
