label;parent;candidate;chapter
deer;similarity to another animal;<https://opentheso.huma-num.fr/?idc=pcrtTbldUhfb1h&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtGF1d7re4tW&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtBWawwFyKfi&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtjuRb0UXSPh&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtgx1nQuifPW&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtqAso9mnL56&idt=th310>;PLINE-10-annoteIPL
absolute;size;<https://opentheso.huma-num.fr/?idc=105271&idt=th310>,<https://opentheso.huma-num.fr/?idc=105167&idt=th310>,<https://opentheso.huma-num.fr/?idc=105374&idt=th310>;PLINE-10-annoteIPL
absolute;size;<https://opentheso.huma-num.fr/?idc=105271&idt=th310>,<https://opentheso.huma-num.fr/?idc=105167&idt=th310>,<https://opentheso.huma-num.fr/?idc=105374&idt=th310>;PLINE-10-annoteIPL
place;;<https://opentheso.huma-num.fr/?idc=pcrtSxe2PZMWR8&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjMViY6Mka1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtKjVnonMg0S&idt=th310>, <https://opentheso.huma-num.fr/?idc=107059&idt=th310>, <https://opentheso.huma-num.fr/?idc=105497&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt20EsS32aXe&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtY20DKUZ2AS&idt=th310>;PLINE-10-annoteIPL
Ethiopia;;<https://opentheso.huma-num.fr/?idc=107830&idt=th310>, <https://opentheso.huma-num.fr/?idc=107794&idt=th310>;PLINE-10-annoteIPL
Ethiopia;place;<https://opentheso.huma-num.fr/?idc=107830&idt=th310>,<https://opentheso.huma-num.fr/?idc=107794&idt=th310>;PLINE-10-annoteIPL
place;;<https://opentheso.huma-num.fr/?idc=pcrtSxe2PZMWR8&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtjMViY6Mka1&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtKjVnonMg0S&idt=th310>, <https://opentheso.huma-num.fr/?idc=107059&idt=th310>, <https://opentheso.huma-num.fr/?idc=105497&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrt20EsS32aXe&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtY20DKUZ2AS&idt=th310>;PLINE-10-annoteIPL
India;;<https://opentheso.huma-num.fr/?idc=106951&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtj8urIFfA6b&idt=th310>, <https://opentheso.huma-num.fr/?idc=107786&idt=th310>, <https://opentheso.huma-num.fr/?idc=105710&idt=th310>, <https://opentheso.huma-num.fr/?idc=107860&idt=th310>, <https://opentheso.huma-num.fr/?idc=105874&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtflDrSsRs64&idt=th310>, <https://opentheso.huma-num.fr/?idc=105695&idt=th310>, <https://opentheso.huma-num.fr/?idc=107173&idt=th310>;PLINE-10-annoteIPL
India;place;<https://opentheso.huma-num.fr/?idc=106951&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtj8urIFfA6b&idt=th310>,<https://opentheso.huma-num.fr/?idc=107786&idt=th310>,<https://opentheso.huma-num.fr/?idc=105710&idt=th310>,<https://opentheso.huma-num.fr/?idc=107860&idt=th310>,<https://opentheso.huma-num.fr/?idc=105874&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtflDrSsRs64&idt=th310>,<https://opentheso.huma-num.fr/?idc=105695&idt=th310>,<https://opentheso.huma-num.fr/?idc=107173&idt=th310>;PLINE-10-annoteIPL
bird;;<https://opentheso.huma-num.fr/?idc=108367&idt=th310>, <https://opentheso.huma-num.fr/?idc=108685&idt=th310>, <https://opentheso.huma-num.fr/?idc=105934&idt=th310>, <https://opentheso.huma-num.fr/?idc=108667&idt=th310>, <https://opentheso.huma-num.fr/?idc=108641&idt=th310>, <https://opentheso.huma-num.fr/?idc=108279&idt=th310>, <https://opentheso.huma-num.fr/?idc=pcrtJzuAzNR9vn&idt=th310>;PLINE-10-annoteIPL
