label;candidate;parent;chapter
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-11-annotéIPL
Plato;<https://opentheso.huma-num.fr/?idc=pcrtepvW8S9Ma2&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtpST0gidgL5&idt=th310>;writer;PLINE-11-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-11-annotéIPL
dent;<https://opentheso.huma-num.fr/?idc=105134&idt=th310>,<https://opentheso.huma-num.fr/?idc=pcrtB5MOlwoFbc&idt=th310>;;PLINE-11-annotéIPL
