label;parent;chapter
ancient classes;;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
lake;habitat;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
acient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
monster Archeo;;PLINE-9-annotéIPL
sea grape;;PLINE-9-annotéIPL
odour;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
juger;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
Indian ocean;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river Ganges;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
astronomic calendar;;PLINE-9-annotéIPL
4th c. BCE;;PLINE-9-annotéIPL
Ptolemaeus I Soter;historical character;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
Gedrosians;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
bull;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Gallic Ocean;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Gibraltar strait;;PLINE-9-annotéIPL
Cadiz ocean;;PLINE-9-annotéIPL
sea tree;;PLINE-9-annotéIPL
1st c. CE;;PLINE-9-annotéIPL
undefined author(s);historian;PLINE-9-annotéIPL
triton;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
undefined author(s);historian;PLINE-9-annotéIPL
Cadiz ocean;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Lugdunensis provincia;;PLINE-9-annotéIPL
varia lectio;;PLINE-9-annotéIPL
tumore;;PLINE-9-annotéIPL
sea ram;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
Santoni;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Cadiz;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
Turranius Gracilis;intellectual authority;PLINE-9-annotéIPL
Gaius;intellectual authority;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
M. Scaurus;historical character;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
spine;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Cadiz Ocean;;PLINE-9-annotéIPL
whales;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
1st c. CE;;PLINE-9-annotéIPL
forehead;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
respiratory organs;;PLINE-9-annotéIPL
other;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
forehead;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
relative;speed;PLINE-9-annotéIPL
breat;;PLINE-9-annotéIPL
absolute;length of pregnancy;PLINE-9-annotéIPL
number of offsprings;;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
similarity with another animal;;PLINE-9-annotéIPL
1st c. BCE-1st c. CE;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
Lucrinus;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Baias;;PLINE-9-annotéIPL
Maecenas;intellectual authority;PLINE-9-annotéIPL
Fabianus;;PLINE-9-annotéIPL
Flavius Alfius;;PLINE-9-annotéIPL
1st c. BCE-1st c. CE;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Hippo Diarrhytos;;PLINE-9-annotéIPL
Marcus Pompeius Silvanus Staberius Flavinus;historical character;PLINE-9-annotéIPL
sociability to man;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Iasus;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Roman deities;;PLINE-9-annotéIPL
religious use;;PLINE-9-annotéIPL
divination;;PLINE-9-annotéIPL
sociability to man;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Iasus;;PLINE-9-annotéIPL
sociability to man;;PLINE-9-annotéIPL
sadness;;PLINE-9-annotéIPL
Hegesidemus Cythnius;historian;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Narbonensis;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
south wind;;PLINE-9-annotéIPL
absolute;speed;PLINE-9-annotéIPL
solidarity between man and animal;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Iasian Gulf;;PLINE-9-annotéIPL
solidarity between man and animal;;PLINE-9-annotéIPL
Mucianus;intellectual authority;PLINE-9-annotéIPL
Caius Licinius;intellectual authority;PLINE-9-annotéIPL
sadness;;PLINE-9-annotéIPL
King of Caria;historical character;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
sadness;;PLINE-9-annotéIPL
thursion;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
use of part of animal;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
use of part of animal;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
snouth;;PLINE-9-annotéIPL
ancien classes;;PLINE-9-annotéIPL
number of offsprings;;PLINE-9-annotéIPL
copulation;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
Chelonophagi;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
1st c. BCE;;PLINE-9-annotéIPL
use of part of animal;;PLINE-9-annotéIPL
hippopotamus;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
cattle;;PLINE-9-annotéIPL
copulation;;PLINE-9-annotéIPL
number of offsprings;;PLINE-9-annotéIPL
ground;habitat;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
crustacean;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
span;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
Statius Sebosus;intellectual authority;PLINE-9-annotéIPL
eel  moray  snake  conger;;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Mediterranean;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
trade of animal part;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
gragarious;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Hispania;;PLINE-9-annotéIPL
animal reserve;;PLINE-9-annotéIPL
vivarium;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Calchedon;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
gragarious;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Calchedon;;PLINE-9-annotéIPL
tides;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancien classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Aegean;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
Ister;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Hadratic sea;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
similarity to antother animal;;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
little animal similar to a scorpion parasite of thon and swordfish;;PLINE-9-annotéIPL
absolute;speed;PLINE-9-annotéIPL
divination;religious use of animal;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
sclae;;PLINE-9-annotéIPL
fishing with web;;PLINE-9-annotéIPL
lake;habitat;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
brown meagre;;PLINE-9-annotéIPL
stone;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
astronimical calendar;;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
cf. information about the direction of the hair of the wild bull  Plin. VIII 74.;;PLINE-9-annotéIPL
Laberius;;PLINE-9-annotéIPL
bacchus;;PLINE-9-annotéIPL
variety;;PLINE-9-annotéIPL
bacchus;;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Carpathos (Aegean island);;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Lectus cape;;PLINE-9-annotéIPL
1st c. CE;;PLINE-9-annotéIPL
Optatus;historical character;PLINE-9-annotéIPL
freeman of Tiberius;historical character;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Alpa;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;habitat;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
Constance;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
pound;;PLINE-9-annotéIPL
animal reserve;;PLINE-9-annotéIPL
vivarium;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
nord;;PLINE-9-annotéIPL
west;;PLINE-9-annotéIPL
special;nourishment;PLINE-9-annotéIPL
variety;;PLINE-9-annotéIPL
CONCHYLIA;;PLINE-9-annotéIPL
authority;;PLINE-9-annotéIPL
;;PLINE-9-annotéIPL
M. Apicius;historical character;PLINE-9-annotéIPL
Asinius Celer;historical character;PLINE-9-annotéIPL
Caligula;historical character;PLINE-9-annotéIPL
1st c. CE;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
pound;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Red sea;;PLINE-9-annotéIPL
Licinius Mucianus;intellectual authority;PLINE-9-annotéIPL
archeotaxon;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Egypt;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Cadiz;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Ibiza;;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
branchias;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
Larius;;PLINE-9-annotéIPL
Verbanus;;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
lake;habitat;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Clitorius;;PLINE-9-annotéIPL
synonym;exocoetus;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;habitat;PLINE-9-annotéIPL
river;habitat;PLINE-9-annotéIPL
tides;;PLINE-9-annotéIPL
fising;;PLINE-9-annotéIPL
Poissons;astronomical calendar;PLINE-9-annotéIPL
in favour of animal;comparison with human behaviour and qualities;PLINE-9-annotéIPL
general apearance;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
Fucine;;PLINE-9-annotéIPL
pulp;;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
aquilon;wind;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
river;;PLINE-9-annotéIPL
lake;;PLINE-9-annotéIPL
Benacus;;PLINE-9-annotéIPL
October;Roman month;PLINE-9-annotéIPL
copulation;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Vedius Pollio;historical character;PLINE-9-annotéIPL
1st c. BCE-1st c. CE;;PLINE-9-annotéIPL
Verrius;intellectual authority;PLINE-9-annotéIPL
use of animal part;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
parasite;;PLINE-9-annotéIPL
nourishment by Greeks/Romans;;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
Periander;historical character;PLINE-9-annotéIPL
VI c. BCE;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
deities;;PLINE-9-annotéIPL
Mucianus;intellectual authority;PLINE-9-annotéIPL
Caius Licinius;intellectual authority;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
digit;;PLINE-9-annotéIPL
parasite;;PLINE-9-annotéIPL
Niger;intellectual authority;PLINE-9-annotéIPL
Trebius;intellectual authority;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
with conch;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
foot number;;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
hard shell;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
odour;head, odour;PLINE-9-annotéIPL
pedation;;PLINE-9-annotéIPL
ozaena;;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
senses;;PLINE-9-annotéIPL
senses;;PLINE-9-annotéIPL
general;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
animal reserve;;PLINE-9-annotéIPL
vivarium;;PLINE-9-annotéIPL
fishing with fish pot;;PLINE-9-annotéIPL
solidarity between man and animal;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
odour;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
other kind of public exhibition;;PLINE-9-annotéIPL
pound;size;PLINE-9-annotéIPL
Niger;intellectual authority;PLINE-9-annotéIPL
Trebius;intellectual authority;PLINE-9-annotéIPL
Luculus;;PLINE-9-annotéIPL
L.;;PLINE-9-annotéIPL
1st c. BCE;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
measure;;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Mediterranean sea;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
similiarity with another animal;;PLINE-9-annotéIPL
Mucianus;intellectual authority;PLINE-9-annotéIPL
Caius Licinius;intellectual authority;PLINE-9-annotéIPL
religious use;;PLINE-9-annotéIPL
divination;;PLINE-9-annotéIPL
special form of locomotion;;PLINE-9-annotéIPL
movility of horn;;PLINE-9-annotéIPL
specially distinguishing feature;;PLINE-9-annotéIPL
tale;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
hippos;;PLINE-9-annotéIPL
synonym;;PLINE-9-annotéIPL
absolute;speed;PLINE-9-annotéIPL
absolute;longevity;PLINE-9-annotéIPL
foot number;;PLINE-9-annotéIPL
relative;size;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
variety;;PLINE-9-annotéIPL
echinometra;;PLINE-9-annotéIPL
green  transparent;color;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
number of offsprings;;PLINE-9-annotéIPL
sens general;;PLINE-9-annotéIPL
summer lethargy;;PLINE-9-annotéIPL
ancien classes;;PLINE-9-annotéIPL
with conch;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
with conch;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
archeotaxon;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
with conch;;PLINE-9-annotéIPL
trade of animal;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
island;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
island;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
cape;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
Persian gulf;;PLINE-9-annotéIPL
ancient classes;;PLINE-9-annotéIPL
with conch;;PLINE-9-annotéIPL
clouded;;PLINE-9-annotéIPL
trade of animal part;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
peoples;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
places;;PLINE-9-annotéIPL
absolute;size;PLINE-9-annotéIPL
