annotation;text;concept;chapter
hierarchy;regias imperatoribus futuris in ima parte alvi exstruunt amplas, magnificas, separatas, tuberculo eminentes, quod si exprimatur, non gignuntur. sexangulae omnes cellae a singulorum pedum opere.;https://opentheso.huma-num.fr/?idc=105459&idt=th310;PLINE-11-annotéIPL
good weather;nihil horum stato tempore, sed rapiunt diebus serenis munia.;https://opentheso.huma-num.fr/?idc=107529&idt=th310;PLINE-11-annotéIPL
animal product;melle uno alterove summum die cellas replent.;https://opentheso.huma-num.fr/?idc=105544&idt=th310;PLINE-11-annotéIPL
honey;melle uno alterove summum die cellas replent.;https://opentheso.huma-num.fr/?idc=pcrtsPauzzRS5z&idt=th310;PLINE-11-annotéIPL
air;Venit hoc ex aere;https://opentheso.huma-num.fr/?idc=107586&idt=th310;PLINE-11-annotéIPL
astronomical calendar;maxime siderum exortu, praecipueque ipso sirio explendescente, nec omnino prius vergiliarum exortu;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Sirius;maxime siderum exortu, praecipueque ipso sirio explendescente, nec omnino prius vergiliarum exortu;https://opentheso.huma-num.fr/?idc=106059&idt=th310;PLINE-11-annotéIPL
Pleiades;maxime siderum exortu, praecipueque ipso sirio explendescente, nec omnino prius vergiliarum exortu;https://opentheso.huma-num.fr/?idc=107103&idt=th310;PLINE-11-annotéIPL
tree;folia arborum melle roscida inveniuntur;https://opentheso.huma-num.fr/?idc=107538&idt=th310;PLINE-11-annotéIPL
sky;sive ille est caeli sudor;https://opentheso.huma-num.fr/?idc=107590&idt=th310;PLINE-11-annotéIPL
influence of stars on animal product;sive quaedam siderum saliva;https://opentheso.huma-num.fr/?idc=105686&idt=th310;PLINE-11-annotéIPL
star;sive quaedam siderum saliva;https://opentheso.huma-num.fr/?idc=107592&idt=th310;PLINE-11-annotéIPL
air;sive purgantis s<e> aeris sucus;https://opentheso.huma-num.fr/?idc=107586&idt=th310;PLINE-11-annotéIPL
morning;"sublucanis temporibus. itaque tum prima aurora folia arborum melle roscida inveniuntur ac, si qui matutino sub diu fuere, unctas liquore vestes capillumque concretum sentiunt, sive ille est caeli sudor sive quaedam siderum saliva sive purgantis s<e> aeris sucus; utinamque esset purus ac liquidus et suae naturae, qualis defluit pri-  [[31]]  mo!";https://opentheso.huma-num.fr/?idc=107043&idt=th310;PLINE-11-annotéIPL
leaf;praeterea e fronde;https://opentheso.huma-num.fr/?idc=107596&idt=th310;PLINE-11-annotéIPL
grass;ac pabulis;https://opentheso.huma-num.fr/?idc=107594&idt=th310;PLINE-11-annotéIPL
thirst;potus;https://opentheso.huma-num.fr/?idc=105345&idt=th310;PLINE-11-annotéIPL
digestion;in utriculos congestus apium;https://opentheso.huma-num.fr/?idc=105247&idt=th310;PLINE-11-annotéIPL
mouth;ore enim eum vomunt;https://opentheso.huma-num.fr/?idc=105131&idt=th310;PLINE-11-annotéIPL
vomit;ore enim eum vomunt;https://opentheso.huma-num.fr/?idc=105955&idt=th310;PLINE-11-annotéIPL
sky;caelestis naturae;https://opentheso.huma-num.fr/?idc=107590&idt=th310;PLINE-11-annotéIPL
flower;ibi optimus semper, ubi optimorum doliolis florum conditur.;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
Attica;<fit> Atticae regionis hoc;https://opentheso.huma-num.fr/?idc=105722&idt=th310;PLINE-11-annotéIPL
Sicily;Siculae;https://opentheso.huma-num.fr/?idc=107792&idt=th310;PLINE-11-annotéIPL
Hybla;Hybla;https://opentheso.huma-num.fr/?idc=108405&idt=th310;PLINE-11-annotéIPL
oak;quercus;https://opentheso.huma-num.fr/?idc=107598&idt=th310;PLINE-11-annotéIPL
lime-tree;tiliae;https://opentheso.huma-num.fr/?idc=107600&idt=th310;PLINE-11-annotéIPL
reed;harundinum;https://opentheso.huma-num.fr/?idc=106580&idt=th310;PLINE-11-annotéIPL
Sicily;ut in Sicilia;https://opentheso.huma-num.fr/?idc=107792&idt=th310;PLINE-11-annotéIPL
wax;aliubi enim favi cera spectabiles gignuntur, ut in Sicilia, Paelignis,;https://opentheso.huma-num.fr/?idc=107360&idt=th310;PLINE-11-annotéIPL
Cyprus;Cypro;https://opentheso.huma-num.fr/?idc=107842&idt=th310;PLINE-11-annotéIPL
Africa;Africa;https://opentheso.huma-num.fr/?idc=pcrtWenr3MyngA&idt=th310;PLINE-11-annotéIPL
North;ut in septentrionalibus;https://opentheso.huma-num.fr/?idc=107812&idt=th310;PLINE-11-annotéIPL
Germania;viso iam in Germania octo pedum longitudinis [[34]] favo in cav<a> parte nigr<o>.;https://opentheso.huma-num.fr/?idc=105719&idt=th310;PLINE-11-annotéIPL
flower;ex floribus constructo favo, quod ideo vocatur anthinum.;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
nourishment;ut largo alimento valida exeat suboles;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
honey;ut largo alimento valida exeat suboles;https://opentheso.huma-num.fr/?idc=pcrtsPauzzRS5z&idt=th310;PLINE-11-annotéIPL
offspring;ut largo alimento valida exeat suboles;https://opentheso.huma-num.fr/?idc=105371&idt=th310;PLINE-11-annotéIPL
technical authority;hoc quidam attingi vetant, ut largo alimento valida exeat suboles.;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;hoc quidam attingi vetant, ut largo alimento valida exeat suboles.;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
astronomical calendar;magnorum siderum exortu, praeterea solstitio,;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
solstice;magnorum siderum exortu, praeterea solstitio,;https://opentheso.huma-num.fr/?idc=107437&idt=th310;PLINE-11-annotéIPL
thyme;thymum;https://opentheso.huma-num.fr/?idc=107604&idt=th310;PLINE-11-annotéIPL
vine;uva;https://opentheso.huma-num.fr/?idc=pcrtihlJWfvH4v&idt=th310;PLINE-11-annotéIPL
flower;cum thymum et uva [[35]] florere incipiunt;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
house building;cum thymum et uva [[35]] florere incipiunt, praecipua cellarum materia;https://opentheso.huma-num.fr/?idc=105466&idt=th310;PLINE-11-annotéIPL
technical authority;alii ex nullo minus apibus relinquunt, quoniam magna sequatur ubertas magnorum siderum exortu, praeterea solstitio, cum thymum et uva [[35]] florere incipiunt, praecipua cellarum materia.;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;alii ex nullo minus apibus relinquunt, quoniam magna sequatur ubertas magnorum siderum exortu, praeterea solstitio, cum thymum et uva [[35]] florere incipiunt, praecipua cellarum materia.;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
death;desperant moriunturque;https://opentheso.huma-num.fr/?idc=106471&idt=th310;PLINE-11-annotéIPL
starvation;inopia cibi desperant moriunturque aut diffugiunt;https://opentheso.huma-num.fr/?idc=108058&idt=th310;PLINE-11-annotéIPL
hunger;inopia cibi desperant moriunturque aut diffugiunt;https://opentheso.huma-num.fr/?idc=105840&idt=th310;PLINE-11-annotéIPL
flight;diffugiunt;https://opentheso.huma-num.fr/?idc=105850&idt=th310;PLINE-11-annotéIPL
laziness;contra copia ignaviam adfert;https://opentheso.huma-num.fr/?idc=107584&idt=th310;PLINE-11-annotéIPL
nourishment;ac iam melle, non erithace, pascuntur;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
honey;ac iam melle, non erithace, pascuntur;https://opentheso.huma-num.fr/?idc=pcrtsPauzzRS5z&idt=th310;PLINE-11-annotéIPL
sandarac;ac iam melle, non erithace, pascuntur;https://opentheso.huma-num.fr/?idc=107552&idt=th310;PLINE-11-annotéIPL
technical authority;est autem in eximendis favis necessaria dispensatio, quoniam inopia cibi desperant moriunturque aut diffugiunt, contra copia ignaviam adfert, ac iam melle, non erithace, pascuntur. ergo diligentiores ex hac vindemia XV partem apibus relinquunt. dies status inchoandae, ut quadam lege naturae, si scire aut observare homines vellent, tricensimus ab educto examine;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;est autem in eximendis favis necessaria dispensatio, quoniam inopia cibi desperant moriunturque aut diffugiunt, contra copia ignaviam adfert, ac iam melle, non erithace, pascuntur. ergo diligentiores ex hac vindemia XV partem apibus relinquunt. dies status inchoandae, ut quadam lege naturae, si scire aut observare homines vellent, tricensimus ab educto examine;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
Roman month;fereque Maio mense includitur haec vindemia;https://opentheso.huma-num.fr/?idc=105669&idt=th310;PLINE-11-annotéIPL
May;fereque Maio mense includitur haec vindemia;https://opentheso.huma-num.fr/?idc=106544&idt=th310;PLINE-11-annotéIPL
spring;vernum ex floribus constructo favo, quod ideo vocatur anthinum. hoc quidam attingi vetant, ut largo alimento valida exeat suboles. alii ex nullo minus apibus relinquunt, quoniam magna sequatur ubertas magnorum siderum exortu, praeterea solstitio, cum thymum et uva [[35]] florere incipiunt, praecipua cellarum materia. est autem in eximendis favis necessaria dispensatio, quoniam inopia cibi desperant moriunturque aut diffugiunt, contra copia ignaviam adfert, ac iam melle, non erithace, pascuntur. ergo diligentiores ex hac vindemia XV partem apibus relinquunt. dies status inchoandae, ut quadam lege naturae, si scire aut observare homines vellent, tricensimus ab educto examine, fereque Maio mense includitur haec vindemia.;https://opentheso.huma-num.fr/?idc=105655&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ipso sirio exsplendescente;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Sirius;ipso sirio exsplendescente;https://opentheso.huma-num.fr/?idc=106059&idt=th310;PLINE-11-annotéIPL
astronomical calendar;post solstitium diebus XXX fere;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
summer solstice;post solstitium diebus XXX fere;https://opentheso.huma-num.fr/?idc=107602&idt=th310;PLINE-11-annotéIPL
influence of stars on animal product;ab exortu sideris cuiuscumque, sed nobilium maxime;https://opentheso.huma-num.fr/?idc=105686&idt=th310;PLINE-11-annotéIPL
rainbow;caelestis arcus;https://opentheso.huma-num.fr/?idc=107606&idt=th310;PLINE-11-annotéIPL
rain;si non sequantur imbres;https://opentheso.huma-num.fr/?idc=105643&idt=th310;PLINE-11-annotéIPL
warm;ros tepescat solis radiis;https://opentheso.huma-num.fr/?idc=105646&idt=th310;PLINE-11-annotéIPL
dew;ros tepescat solis radiis;https://opentheso.huma-num.fr/?idc=107608&idt=th310;PLINE-11-annotéIPL
human disease;oculis;https://opentheso.huma-num.fr/?idc=105965&idt=th310;PLINE-11-annotéIPL
eye disease;oculis;https://opentheso.huma-num.fr/?idc=107610&idt=th310;PLINE-11-annotéIPL
human disease;ulceribus;https://opentheso.huma-num.fr/?idc=105965&idt=th310;PLINE-11-annotéIPL
ulcer;ulceribus;https://opentheso.huma-num.fr/?idc=107612&idt=th310;PLINE-11-annotéIPL
human disease;internisque visceribus;https://opentheso.huma-num.fr/?idc=105965&idt=th310;PLINE-11-annotéIPL
disease of the internal organs;internisque visceribus;https://opentheso.huma-num.fr/?idc=107614&idt=th310;PLINE-11-annotéIPL
sky;dona caelestia;https://opentheso.huma-num.fr/?idc=107590&idt=th310;PLINE-11-annotéIPL
astronomical calendar;quod si servetur hoc sirio exoriente;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Sirius;quod si servetur hoc sirio exoriente;https://opentheso.huma-num.fr/?idc=106059&idt=th310;PLINE-11-annotéIPL
astronomical calendar;casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Venus2;casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus;https://opentheso.huma-num.fr/?idc=107618&idt=th310;PLINE-11-annotéIPL
Mercury2;casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus;https://opentheso.huma-num.fr/?idc=107616&idt=th310;PLINE-11-annotéIPL
medical use of animal product;namque ab exortu sideris cuiuscumque, sed nobilium maxime, aut caelestis arcus, si non sequantur imbres, sed ros tepescat solis radiis, medicamenta, non mella, gignuntur, oculis, ulceribus internisque visceribus dona caelestia. quod si servetur hoc sirio exoriente casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus, non alia suavitas visque mortalium malis a morte revocandis quam divini nectaris fiat;https://opentheso.huma-num.fr/?idc=105585&idt=th310;PLINE-11-annotéIPL
honey;namque ab exortu sideris cuiuscumque, sed nobilium maxime, aut caelestis arcus, si non sequantur imbres, sed ros tepescat solis radiis, medicamenta, non mella, gignuntur, oculis, ulceribus internisque visceribus dona caelestia. quod si servetur hoc sirio exoriente casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus, non alia suavitas visque mortalium malis a morte revocandis quam divini nectaris fiat;https://opentheso.huma-num.fr/?idc=pcrtsPauzzRS5z&idt=th310;PLINE-11-annotéIPL
summer;Alterum genus est mellis aestivi, quod ideo vocatur horaeon a tempestivitate praecipua, ipso sirio exsplendescente post solstitium diebus XXX fere. inmensa circa hoc subtilitas naturae mortalibus patefacta est, nisi fraus hominum [[37]] cuncta pernicie corrumperet. namque ab exortu sideris cuiuscumque, sed nobilium maxime, aut caelestis arcus, si non sequantur imbres, sed ros tepescat solis radiis, medicamenta, non mella, gignuntur, oculis, ulceribus internisque visceribus dona caelestia. quod si servetur hoc sirio exoriente casuque congruat in eundem diem, ut saepe, Veneris aut Iovis Mercurive exortus, non alia suavitas visque mortalium malis a morte revocandis quam divini nectaris fiat.;https://opentheso.huma-num.fr/?idc=105656&idt=th310;PLINE-11-annotéIPL
full moon;Mel plenilunio uberius capitur;https://opentheso.huma-num.fr/?idc=105661&idt=th310;PLINE-11-annotéIPL
good weather;sereno die pinguius;https://opentheso.huma-num.fr/?idc=107529&idt=th310;PLINE-11-annotéIPL
summer;maxime laudabile est aestivum omne rutilum, ut siccioribus confectum diebus.;https://opentheso.huma-num.fr/?idc=105656&idt=th310;PLINE-11-annotéIPL
dryness;maxime laudabile est aestivum omne rutilum, ut siccioribus confectum diebus.;https://opentheso.huma-num.fr/?idc=105648&idt=th310;PLINE-11-annotéIPL
thyme;album mel non fit ubi thymum est;https://opentheso.huma-num.fr/?idc=107604&idt=th310;PLINE-11-annotéIPL
human disease;oculis;https://opentheso.huma-num.fr/?idc=105965&idt=th310;PLINE-11-annotéIPL
human disease;ulceribus;https://opentheso.huma-num.fr/?idc=105965&idt=th310;PLINE-11-annotéIPL
ulcer;ulceribus;https://opentheso.huma-num.fr/?idc=107612&idt=th310;PLINE-11-annotéIPL
medical use of animal product;album mel non fit ubi thymum est, sed oculis et ulceribus aptissimum existimatur.;https://opentheso.huma-num.fr/?idc=105585&idt=th310;PLINE-11-annotéIPL
flower;doliolis pingu<e>;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
rosemary;e marino rore spissum;https://opentheso.huma-num.fr/?idc=107622&idt=th310;PLINE-11-annotéIPL
thyme;"thymosum non coit et tactu praetenuia fila mittit, quod primum bonitatis argumentum est;";https://opentheso.huma-num.fr/?idc=107604&idt=th310;PLINE-11-annotéIPL
summer;aestiva mellatione;https://opentheso.huma-num.fr/?idc=105656&idt=th310;PLINE-11-annotéIPL
intellectual authority;"aestiva mellatione X partem Cassio Dionysio apibus relinqui placet, si plenae fuerint alvi; si minus, pro rata portione aut, si inanes, omnino non attingi.";https://opentheso.huma-num.fr/?idc=105301&idt=th310;PLINE-11-annotéIPL
Cassius Dionysius;"aestiva mellatione X partem Cassio Dionysio apibus relinqui placet, si plenae fuerint alvi; si minus, pro rata portione aut, si inanes, omnino non attingi.";https://opentheso.huma-num.fr/?idc=107624&idt=th310;PLINE-11-annotéIPL
Attica;Attici;https://opentheso.huma-num.fr/?idc=105722&idt=th310;PLINE-11-annotéIPL
technical authority;huic vindemiae Attici signum dedere initium caprifici;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;huic vindemiae Attici signum dedere initium caprifici;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
agricultural calendar;initium caprifici;https://opentheso.huma-num.fr/?idc=107763&idt=th310;PLINE-11-annotéIPL
mythological or literary character;Volcano;https://opentheso.huma-num.fr/?idc=105811&idt=th310;PLINE-11-annotéIPL
Vulcan;Volcano;https://opentheso.huma-num.fr/?idc=pcrtqAjrvYMH4n&idt=th310;PLINE-11-annotéIPL
technical authority;alii diem Volcano sacrum;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;alii diem Volcano sacrum;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
religious festival;diem Volcano sacrum;https://opentheso.huma-num.fr/?idc=pcrtpeyVeaVuLF&idt=th310;PLINE-11-annotéIPL
calendrier religieux;diem Volcano sacrum;https://opentheso.huma-num.fr/?idc=108393&idt=th310;PLINE-11-annotéIPL
autumn;post primos autumni imbres;https://opentheso.huma-num.fr/?idc=105654&idt=th310;PLINE-11-annotéIPL
rain;post primos autumni imbres;https://opentheso.huma-num.fr/?idc=105643&idt=th310;PLINE-11-annotéIPL
heather;cum erice sola floret in silvis;https://opentheso.huma-num.fr/?idc=107628&idt=th310;PLINE-11-annotéIPL
flower;cum erice sola floret in silvis;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
astronomical calendar;gignit id maxime arcturi exortus;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Arcturus;gignit id maxime arcturi exortus;https://opentheso.huma-num.fr/?idc=105960&idt=th310;PLINE-11-annotéIPL
Roman month;ex a. d. pr. id. Septembres;https://opentheso.huma-num.fr/?idc=105669&idt=th310;PLINE-11-annotéIPL
ides;ex a. d. pr. id. Septembres;https://opentheso.huma-num.fr/?idc=pcrtaNlSUyHLgL&idt=th310;PLINE-11-annotéIPL
summer;aestivam mellationem;https://opentheso.huma-num.fr/?idc=105656&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ad arcturi exortum proferunt;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Arcturus;ad arcturi exortum proferunt;https://opentheso.huma-num.fr/?idc=105960&idt=th310;PLINE-11-annotéIPL
astronomical calendar;quoniam ad aequinoctium autumni ab eo supersint dies XIIII, et ab aequinoctio;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
autumnal equinox;quoniam ad aequinoctium autumni ab eo supersint dies XIIII, et ab aequinoctio;https://opentheso.huma-num.fr/?idc=107435&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Pleiades;ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII;https://opentheso.huma-num.fr/?idc=107103&idt=th310;PLINE-11-annotéIPL
heather;et ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII plurima sit erice;https://opentheso.huma-num.fr/?idc=107628&idt=th310;PLINE-11-annotéIPL
flower;et ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII plurima sit erice;https://opentheso.huma-num.fr/?idc=107531&idt=th310;PLINE-11-annotéIPL
zootechnical profession;quidam aestivam mellationem ad arcturi exortum proferunt, quoniam ad aequinoctium autumni ab eo supersint dies XIIII, et ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII plurima sit erice.;https://opentheso.huma-num.fr/?idc=105323&idt=th310;PLINE-11-annotéIPL
beekeeper;quidam aestivam mellationem ad arcturi exortum proferunt, quoniam ad aequinoctium autumni ab eo supersint dies XIIII, et ab aequinoctio ad vergiliarum occasum diebus [[42]]  XXXXVIII plurima sit erice.;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
Athens;Athenienses eam tetra<l>icen appellant;https://opentheso.huma-num.fr/?idc=108411&idt=th310;PLINE-11-annotéIPL
Athenians;Athenienses eam tetra<l>icen appellant;https://opentheso.huma-num.fr/?idc=pcrtpIbMNAhN5a&idt=th310;PLINE-11-annotéIPL
Euboea;Euboea sisyrum;https://opentheso.huma-num.fr/?idc=105726&idt=th310;PLINE-11-annotéIPL
intellectual authority;putantque apibus esse gratissimam, fortassis quia tunc nulla alia sit copia;https://opentheso.huma-num.fr/?idc=105301&idt=th310;PLINE-11-annotéIPL
undefined author/s;putantque apibus esse gratissimam, fortassis quia tunc nulla alia sit copia;https://opentheso.huma-num.fr/?idc=105818&idt=th310;PLINE-11-annotéIPL
astronomical calendar;haec ergo mellatio fine vindemiae et vergiliarum occasu;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Pleiades;haec ergo mellatio fine vindemiae et vergiliarum occasu;https://opentheso.huma-num.fr/?idc=107103&idt=th310;PLINE-11-annotéIPL
Roman month;idibus Novembribus fere includitur;https://opentheso.huma-num.fr/?idc=105669&idt=th310;PLINE-11-annotéIPL
November;idibus Novembribus fere includitur;https://opentheso.huma-num.fr/?idc=106576&idt=th310;PLINE-11-annotéIPL
ides;idibus Novembribus fere includitur;https://opentheso.huma-num.fr/?idc=pcrtaNlSUyHLgL&idt=th310;PLINE-11-annotéIPL
sandarac;eas partes favorum, quae habe- [[43]]  ant erithacen;https://opentheso.huma-num.fr/?idc=107552&idt=th310;PLINE-11-annotéIPL
zootechnical profession;relinqui ex ea duas partes apibus ratio persuadet, et semper eas partes favorum, quae habe- [[43]]  ant erithacen.;https://opentheso.huma-num.fr/?idc=105323&idt=th310;PLINE-11-annotéIPL
beekeeper;relinqui ex ea duas partes apibus ratio persuadet, et semper eas partes favorum, quae habe- [[43]]  ant erithacen.;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
winter;a bruma;https://opentheso.huma-num.fr/?idc=105657&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ad arcturi exortum;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Arcturus;ad arcturi exortum;https://opentheso.huma-num.fr/?idc=105960&idt=th310;PLINE-11-annotéIPL
sleep;somno;https://opentheso.huma-num.fr/?idc=105255&idt=th310;PLINE-11-annotéIPL
nourishment;somno aluntur sine ullo cibo;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
hibernation;a bruma ad arcturi exortum diebus LX somno aluntur sine ullo cibo.;https://opentheso.huma-num.fr/?idc=105256&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ab arcturi exortu;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Arcturus;ab arcturi exortu;https://opentheso.huma-num.fr/?idc=105960&idt=th310;PLINE-11-annotéIPL
astronomical calendar;ad aequinoctium vernum;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
spring equinox;ad aequinoctium vernum;https://opentheso.huma-num.fr/?idc=107006&idt=th310;PLINE-11-annotéIPL
sleep;iam vigilant;https://opentheso.huma-num.fr/?idc=105255&idt=th310;PLINE-11-annotéIPL
nourishment;servatosque in id tempus cibos repetunt;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
warm;ab arcturi exortu ad aequinoctium vernum tepidiore tractu iam vigilant, sed etiamnum alvo se continent servatosque in id tempus cibos repetunt.;https://opentheso.huma-num.fr/?idc=105646&idt=th310;PLINE-11-annotéIPL
astronomical calendar;a vergiliarum exortu;https://opentheso.huma-num.fr/?idc=105673&idt=th310;PLINE-11-annotéIPL
Pleiades;a vergiliarum exortu;https://opentheso.huma-num.fr/?idc=107103&idt=th310;PLINE-11-annotéIPL
sleep;in  [[44]]  eum dormiunt;https://opentheso.huma-num.fr/?idc=105255&idt=th310;PLINE-11-annotéIPL
Italy;in Italia vero hoc idem a vergiliarum exortu faciunt et in  [[44]]  eum dormiunt.;https://opentheso.huma-num.fr/?idc=105718&idt=th310;PLINE-11-annotéIPL
technical authority;feruntque societate fraudata alvos mori;https://opentheso.huma-num.fr/?idc=105307&idt=th310;PLINE-11-annotéIPL
beekeeper;feruntque societate fraudata alvos mori;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
sense;in primis ergo praecipitur, lauti ut purique eximant mella. [[45]]  f<a>et<o>rem mulierumque menses odere.;https://opentheso.huma-num.fr/?idc=105253&idt=th310;PLINE-11-annotéIPL
smell;in primis ergo praecipitur, lauti ut purique eximant mella. [[45]]  f<a>et<o>rem mulierumque menses odere.;https://opentheso.huma-num.fr/?idc=105402&idt=th310;PLINE-11-annotéIPL
anger;ne irascantur;https://opentheso.huma-num.fr/?idc=107630&idt=th310;PLINE-11-annotéIPL
nourishment;ipsae avide vorent;https://opentheso.huma-num.fr/?idc=105246&idt=th310;PLINE-11-annotéIPL
hunger;ipsae avide vorent;https://opentheso.huma-num.fr/?idc=105840&idt=th310;PLINE-11-annotéIPL
domestication technique;cum eximantur mella, apes abigi fumo utilissimum, ne irascantur aut ipsae avide vorent.;https://opentheso.huma-num.fr/?idc=105542&idt=th310;PLINE-11-annotéIPL
laziness;fumo crebriore et ignavia earum excitatur ad opera;https://opentheso.huma-num.fr/?idc=107584&idt=th310;PLINE-11-annotéIPL
work;fumo crebriore et ignavia earum excitatur ad opera;https://opentheso.huma-num.fr/?idc=107519&idt=th310;PLINE-11-annotéIPL
incubation;nisi incubavere;https://opentheso.huma-num.fr/?idc=105985&idt=th310;PLINE-11-annotéIPL
dew;vel minimo contactu roris acescentia;https://opentheso.huma-num.fr/?idc=107608&idt=th310;PLINE-11-annotéIPL
zootechnical profession;alvos quidam in eximendo melle expendunt, ita diribentes quantum relinquant. aequitas quidem etiam in iis obstringitur, feruntque societate fraudata alvos mori. in primis ergo praecipitur, lauti ut purique eximant mella. [[45]]  f<a>et<o>rem mulierumque menses odere. cum eximantur mella, apes abigi fumo utilissimum, ne irascantur aut ipsae avide vorent. fumo crebriore et ignavia earum excitatur ad opera, nam nisi incubavere, favos lividos faciunt. rursus fumo nimio inficiuntur, quando iniuriam celerrime sentiunt mella, vel minimo contactu roris acescentia. et ob id inter genera servatur quod acapnum vocant;https://opentheso.huma-num.fr/?idc=105323&idt=th310;PLINE-11-annotéIPL
beekeeper;alvos quidam in eximendo melle expendunt, ita diribentes quantum relinquant. aequitas quidem etiam in iis obstringitur, feruntque societate fraudata alvos mori. in primis ergo praecipitur, lauti ut purique eximant mella. [[45]]  f<a>et<o>rem mulierumque menses odere. cum eximantur mella, apes abigi fumo utilissimum, ne irascantur aut ipsae avide vorent. fumo crebriore et ignavia earum excitatur ad opera, nam nisi incubavere, favos lividos faciunt. rursus fumo nimio inficiuntur, quando iniuriam celerrime sentiunt mella, vel minimo contactu roris acescentia. et ob id inter genera servatur quod acapnum vocant;https://opentheso.huma-num.fr/?idc=105312&idt=th310;PLINE-11-annotéIPL
smoke;cum eximantur mella, apes abigi fumo utilissimum, ne irascantur aut ipsae avide vorent. fumo crebriore et ignavia earum excitatur ad opera, nam nisi incubavere, favos lividos faciunt. rursus fumo nimio inficiuntur, quando iniuriam celerrime sentiunt mella, vel minimo contactu roris acescentia. et ob id inter genera servatur quod acapnum vocant;https://opentheso.huma-num.fr/?idc=107634&idt=th310;PLINE-11-annotéIPL
